	essay_id	2gram-tf-idf
835	3661	9
836	3666	75
837	3671	10
838	3675	90
839	3678	107
840	3679	19
841	3681	85
842	3685	120
843	3686	84
844	3689	9
845	3691	12
846	3696	59
847	3702	103
848	3704	127
849	3708	8
850	3711	94
851	3714	91
852	3715	99
853	3728	5
854	3735	108
855	3737	75
856	3745	136
857	3746	11
858	3747	108
859	3749	93
860	3756	14
861	3764	61
862	3767	88
863	3768	13
864	3771	79
865	3777	70
866	3779	106
867	3785	82
868	3788	122
869	3791	16
870	3798	7
871	3799	108
872	3806	68
873	3811	121
874	3812	91
875	3823	115
876	3824	12
877	3829	118
878	3832	23
879	3835	93
880	3837	124
881	3838	114
882	3839	81
883	3846	30
884	3848	92
885	3863	101
886	3866	107
887	3876	25
888	3880	113
889	3890	15
890	3894	85
891	3897	76
892	3898	13
893	3905	99
894	3909	129
895	3913	128
896	3918	10
897	3919	22
898	3921	11
899	3931	97
900	3940	66
901	3946	114
902	3947	14
903	3954	20
904	3955	12
905	3965	16
906	3970	22
907	3975	86
908	3986	12
909	3989	77
910	3998	63
911	4008	40
912	4010	47
913	4021	65
914	4025	4
915	4043	58
916	4044	5
917	4049	5
918	4057	28
919	4059	111
920	4062	23
921	4068	82
922	4075	12
923	4082	22
924	4086	90
925	4092	13
926	4094	14
927	4095	16
928	4102	119
929	4105	92
930	4110	115
931	4113	99
932	4123	63
933	4127	25
934	4135	62
935	4136	108
936	4145	29
937	4151	130
938	4157	115
939	4158	19
940	4167	113
941	4172	7
942	4173	87
943	4176	3
944	4182	55
945	4187	121
946	4189	126
947	4194	11
948	4199	11
949	4202	20
950	4207	90
951	4216	108
952	4224	87
953	4225	15
954	4237	130
955	4245	113
956	4249	20
957	4250	13
958	4257	9
959	4259	17
960	4261	17
961	4270	46
962	4271	85
963	4282	133
964	4286	75
965	4295	93
966	4306	6
967	4308	3
968	4312	12
969	4319	109
970	4321	83
971	4335	100
972	4336	82
973	4339	118
974	4341	117
975	4342	88
976	4345	8
977	4347	114
978	4352	102
979	4354	86
980	4355	32
981	4356	94
982	4362	97
983	4363	91
984	4366	54
985	4368	124
986	4374	45
987	4376	104
988	4380	11
989	4391	45
990	4393	50
991	4394	63
992	4419	12
993	4431	102
994	4435	113
995	4436	35
996	4437	98
997	4438	71
998	4443	107
999	4444	127
1000	4445	8
1001	4447	19
1002	4453	111
1003	4460	22
1004	4462	5
1005	4471	29
1006	4476	105
1007	4481	13
1008	4500	116
1009	4502	88
1010	4503	8
1011	4506	105
1012	4513	20
1013	4515	107
1014	4517	117
1015	4518	90
1016	4528	85
1017	4532	50
1018	4539	74
1019	4541	6
1020	4546	8
1021	4554	111
1022	4557	86
1023	4576	15
1024	4582	129
1025	4583	61
1026	4584	4
1027	4588	13
1028	4589	117
1029	4597	101
1030	4603	122
1031	4610	100
1032	4625	111
1033	4628	87
1034	4642	88
1035	4643	107
1036	4649	6
1037	4650	68
1038	4652	30
1039	4654	141
1040	4658	116
1041	4662	57
1042	4664	110
1043	4665	103
1044	4668	114
1045	4677	7
1046	4678	135
1047	4680	115
1048	4683	89
1049	4687	11
1050	4693	118
1051	4707	86
1052	4727	83
1053	4731	67
1054	4735	101
1055	4738	12
1056	4741	119
1057	4748	123
1058	4753	13
1059	4756	24
1060	4764	17
1061	4765	17
1062	11828	117
1063	11833	119
1064	11839	70
1065	11843	113
1066	11846	96
1067	11849	94
1068	11854	43
1069	11862	89
1070	11872	111
1071	11876	71
1072	11877	41
1073	11878	101
1074	11889	76
1075	11900	119
1076	11905	88
1077	11908	83
1078	11910	58
1079	11914	52
1080	11915	81
1081	11917	102
1082	11921	88
1083	11931	87
1084	11937	66
1085	11958	44
1086	11962	91
1087	11969	83
1088	11973	106
1089	11975	94
1090	11981	99
1091	11986	127
1092	11990	106
1093	12015	81
1094	12016	113
1095	12019	98
1096	12022	80
1097	12025	84
1098	12031	107
1099	12032	74
1100	12035	59
1101	12038	106
1102	12042	82
1103	12043	40
1104	12055	68
1105	12063	105
1106	12066	7
1107	12069	114
1108	12078	49
1109	12086	130
1110	12089	55
1111	12097	61
1112	12107	72
1113	12113	56
1114	12115	42
1115	12116	106
1116	12125	116
1117	12126	120
1118	12135	67
1119	12137	67
1120	12138	30
1121	12141	94
1122	12142	88
1123	12148	119
1124	12150	105
1125	12177	74
1126	12180	68
1127	12186	86
1128	12210	124
1129	12217	94
1130	12222	53
1131	12223	104
1132	12226	73
1133	12228	101
1134	12231	119
1135	12236	96
1136	12241	113
1137	12249	23
1138	12252	122
1139	12253	69
1140	12254	40
1141	12261	112
1142	12269	128
1143	12270	110
1144	12274	71
1145	12279	42
1146	12287	92
1147	12291	100
1148	12308	80
1149	12314	65
1150	12317	96
1151	12318	100
1152	12321	116
1153	12322	55
1154	12323	79
1155	12330	87
1156	12347	116
1157	12348	107
1158	12354	75
1159	12356	11
1160	12362	38
1161	12364	104
1162	12365	116
1163	12374	107
1164	12380	52
1165	12385	51
1166	12386	73
1167	12388	119
1168	12390	96
1169	12397	71
1170	12399	97
1171	12400	75
1172	12401	61
1173	12402	105
1174	12406	109
1175	12411	91
1176	12414	21
1177	12416	78
1178	12419	93
1179	12424	121
1180	12435	18
1181	12441	61
1182	12450	87
1183	12452	108
1184	12455	54
1185	12456	79
1186	12458	87
1187	12463	97
1188	12465	37
1189	12474	42
1190	12486	62
1191	12487	102
1192	12488	60
1193	12489	115
1194	12490	80
1195	12496	42
1196	12502	49
1197	12505	118
1198	12524	65
1199	12528	69
1200	12532	86
1201	12534	83
1202	12538	98
1203	12551	68
1204	12553	117
1205	12556	100
1206	12557	103
1207	12564	113
1208	12569	86
1209	12572	31
1210	12575	98
1211	12584	103
1212	12588	136
1213	12590	104
1214	12594	120
1215	12598	45
1216	12599	53
1217	12601	56
1218	12604	41
1219	12617	86
1220	12620	119
1221	12626	103
1222	12629	52
1223	12640	38
1224	12642	37
1225	12651	65
1226	12652	41
1227	12653	76
1228	12661	75
1229	12667	90
1230	12672	110
1231	12679	112
1232	12684	61
1233	12686	108
1234	12688	40
1235	12690	110
1236	12699	117
1237	12701	74
1238	12712	69
1239	12715	116
1240	12717	48
1241	12729	115
1242	12733	54
1243	12740	104
1244	12743	107
1245	12745	96
1246	12747	106
1247	12752	64
1248	12753	123
1249	12758	24
1250	12762	93
1251	12784	116
1252	12788	19
1253	12793	111
1254	12799	56
1255	12806	110
1256	12810	136
1257	12818	107
1258	12827	79
1259	12838	98
1260	12839	111
1261	12840	133
1262	12842	54
1263	12862	74
1264	12870	48
1265	12880	37
1266	12893	121
1267	12901	34
1268	12905	107
1269	12907	99
1270	12909	90
1271	12910	126
1272	12911	108
1273	12913	67
1274	12914	47
1275	12920	112
1276	12921	142
1277	12930	99
1278	12932	50
1279	12935	98
1280	12939	18
1281	12945	95
1282	12952	53
1283	12955	106
1284	12957	124
1285	12958	127
1286	12968	120
1287	12971	86
1288	12972	76
1289	12973	94
1290	12976	27
1291	12980	114
1292	12983	86
1293	12984	103
1294	12989	119
1295	12993	102
1296	12994	83
1297	12998	102
1298	12999	85
1299	13000	107
1300	13004	117
1301	13010	37
1302	13011	37
1303	13025	48
1304	13026	69
1305	13035	101
1306	13045	99
1307	13055	85
1308	13060	73
1309	13069	67
1310	13070	85
1311	13089	102
1312	13090	113
1313	13095	86
1314	13099	125
1315	13101	65
1316	13103	88
1317	13108	92
1318	13110	119
1319	13112	102
1320	13114	66
1321	13123	120
1322	13124	116
1323	13137	96
1324	13145	102
1325	13157	9
1326	13158	114
1327	13160	120
1328	13162	8
1329	13165	33
1330	13167	69
1331	13168	44
1332	13170	109
1333	13182	75
1334	13185	28
1335	13188	49
1336	13192	58
1337	13195	93
1338	13200	106
1339	13205	62
1340	13206	119
1341	13208	113
1342	13209	56
1343	13214	58
1344	13215	106
1345	13216	61
1346	13217	119
1347	13219	99
1348	13221	120
1349	13236	112
1350	13239	70
1351	13242	113
1352	13245	21
1353	13248	123
1354	13249	66
1355	13254	82
1356	13256	70
1357	13268	130
1358	13273	85
1359	13274	67
1360	13281	98
1361	13283	75
1362	13285	118
1363	13287	23
1364	13289	49
1365	13292	100
1366	13297	95
1367	13298	58
1368	13299	77
1369	13300	108
1370	13306	119
1371	13310	40
1372	13325	114
1373	13333	85
1374	13335	66
1375	13357	120
1376	13360	93
1377	13367	46
1378	13372	102
1379	13376	70
1380	13382	73
1381	13383	58
1382	13386	139
1383	13390	114
1384	13391	95
1385	13395	65
1386	13404	91
1387	13405	104
1388	13410	104
1389	13411	100
1390	13420	60
1391	13422	110
1392	13426	82
1393	13428	90
1394	13429	93
1395	13430	107
1396	13436	35
1397	13438	107
1398	13442	98
1399	13469	55
1400	13477	63
1401	13479	83
1402	13482	93
1403	13484	111
1404	13485	121
1405	13497	96
1406	13512	100
1407	13519	96
1408	13522	94
1409	13526	70
1410	13534	54
1411	13554	61
1412	13561	54
1413	13563	122
1414	13581	86
1415	13583	107
1416	13584	124
1417	13585	121
1418	13589	65
1419	13591	86
1420	13599	73
1421	13607	123
1422	13625	108
1423	8869	79
1424	8875	23
1425	8879	73
1426	8882	45
1427	8885	108
1428	8890	89
1429	8898	102
1430	8904	94
1431	8908	72
1432	8912	52
1433	8914	131
1434	8919	79
1435	8925	70
1436	8936	43
1437	8939	107
1438	8941	124
1439	8944	81
1440	8946	83
1441	8950	88
1442	8951	105
1443	8953	62
1444	8957	87
1445	8962	76
1446	8967	63
1447	8973	115
1448	8994	22
1449	8998	90
1450	9005	82
1451	9009	75
1452	9011	107
1453	9017	67
1454	9022	78
1455	9026	84
1456	9051	100
1457	9052	97
1458	9055	74
1459	9058	127
1460	9061	141
1461	9067	59
1462	9068	44
1463	9074	130
1464	9078	47
1465	9079	113
1466	9090	56
1467	9091	95
1468	9099	41
1469	9102	36
1470	9105	73
1471	9113	70
1472	9114	124
1473	9123	64
1474	9126	37
1475	9144	72
1476	9150	46
1477	9153	91
1478	9162	48
1479	9163	103
1480	9172	42
1481	9174	69
1482	9175	118
1483	9178	65
1484	9179	53
1485	9185	56
1486	9187	61
1487	9189	56
1488	9195	98
1489	9199	125
1490	9214	95
1491	9217	109
1492	9223	122
1493	9247	110
1494	9254	113
1495	9259	63
1496	9263	117
1497	9265	61
1498	9268	25
1499	9273	76
1500	9278	52
1501	9286	38
1502	9289	31
1503	9290	74
1504	9291	105
1505	9300	59
1506	9307	98
1507	9310	72
1508	9312	125
1509	9316	108
1510	9324	24
1511	9345	28
1512	9348	63
1513	9351	42
1514	9354	111
1515	9355	50
1516	9358	54
1517	9359	31
1518	9360	51
1519	9362	110
1520	9367	105
1521	9380	96
1522	9384	83
1523	9385	59
1524	9389	122
1525	9399	62
1526	9402	104
1527	9419	78
1528	9420	105
1529	9423	129
1530	9425	106
1531	9435	21
1532	9437	50
1533	9439	100
1534	9447	32
1535	9449	100
1536	9452	61
1537	9462	122
1538	9464	30
1539	9467	104
1540	9472	79
1541	9473	106
1542	9477	58
1543	9478	98
1544	9479	49
1545	9485	106
1546	9487	102
1547	9490	23
1548	9494	74
1549	9497	68
1550	9501	94
1551	9508	110
1552	9509	68
1553	9515	127
1554	9518	68
1555	9526	40
1556	9527	112
1557	9528	22
1558	9534	106
1559	9544	19
1560	9553	92
1561	9558	139
1562	9563	50
1563	9565	42
1564	9567	122
1565	9573	74
1566	9576	82
1567	9578	107
1568	9583	35
1569	9585	31
1570	9589	104
1571	9591	56
1572	9595	109
1573	9598	87
1574	9601	54
1575	9607	141
1576	9622	96
1577	9624	119
1578	9628	99
1579	9629	77
1580	9632	57
1581	9636	79
1582	9643	104
1583	9651	75
1584	9658	97
1585	9666	74
1586	9674	109
1587	9678	36
1588	9682	102
1589	9685	55
1590	9686	52
1591	9690	48
1592	9692	27
1593	9694	65
1594	9699	101
1595	9705	116
1596	9706	15
1597	9717	116
1598	9720	43
1599	9723	83
1600	9725	84
1601	9734	87
1602	9738	125
1603	9740	68
1604	9753	88
1605	9765	52
1606	9766	68
1607	9770	50
1608	9785	46
1609	9788	90
1610	9792	78
1611	9793	40
1612	9795	71
1613	9797	65
1614	9802	23
1615	9808	30
1616	9809	87
1617	9814	47
1618	9818	111
1619	9825	18
1620	9836	68
1621	9838	105
1622	9845	49
1623	9848	69
1624	9851	53
1625	9857	39
1626	9863	43
1627	9876	24
1628	9894	64
1629	9898	71
1630	9901	94
1631	9910	93
1632	9913	23
1633	9917	114
1634	9924	54
1635	9931	22
1636	9937	122
1637	9946	62
1638	9948	72
1639	9955	56
1640	9956	75
1641	9963	105
1642	9964	101
1643	9968	104
1644	9969	91
1645	9974	40
1646	9975	100
1647	9980	41
1648	9982	78
1649	9984	58
1650	9996	12
1651	10000	18
1652	10004	127
1653	10007	54
1654	10009	68
1655	10010	55
1656	10014	40
1657	10022	21
1658	10024	51
1659	10025	112
1660	10031	109
1661	10037	84
1662	10038	57
1663	10047	91
1664	10050	100
1665	10060	91
1666	10061	40
1667	10075	107
1668	10084	118
1669	10093	126
1670	10110	66
1671	10116	48
1672	10119	13
1673	10122	76
1674	10126	25
1675	10128	100
1676	10138	24
1677	10155	99
1678	10157	113
1679	10159	66
1680	10161	22
1681	10164	50
1682	10176	38
1683	10177	30
1684	10178	107
1685	10181	107
1686	10183	80
1687	10186	93
1688	10190	86
1689	10201	98
1690	10204	110
1691	10208	130
1692	10210	54
1693	10211	132
1694	10216	104
1695	10225	62
1696	10231	40
1697	10232	26
1698	10236	115
1699	10245	50
1700	10249	54
1701	10253	54
1702	10260	31
1703	10262	36
1704	10264	111
1705	10265	130
1706	10267	103
1707	10271	109
1708	10274	64
1709	10278	92
1710	10283	94
1711	10288	123
1712	10297	33
1713	10298	113
1714	10302	110
1715	10314	69
1716	10318	94
1717	10322	96
1718	10324	120
1719	10327	143
1720	10329	60
1721	10336	112
1722	10339	52
1723	10349	36
1724	10352	81
1725	10355	40
1726	10367	103
1727	10371	104
1728	10373	34
1729	10374	40
1730	10381	51
1731	10390	44
1732	10392	109
1733	10396	103
1734	10397	114
1735	10398	54
1736	10403	53
1737	10407	109
1738	10408	39
1739	10417	64
1740	10421	46
1741	10422	114
1742	10431	41
1743	10433	28
1744	10438	25
1745	10448	62
1746	10453	93
1747	10456	83
1748	10463	59
1749	10490	37
1750	10493	61
1751	10507	64
1752	10508	115
1753	10513	63
1754	10518	149
1755	10528	107
1756	10531	28
1757	10532	92
1758	10534	121
1759	10546	94
1760	10554	75
1761	10566	27
1762	10572	97
1763	10577	64
1764	10586	81
1765	10590	42
1766	10593	20
1767	10594	92
1768	10595	115
1769	10597	62
1770	10601	44
1771	10614	117
1772	10622	40
1773	10625	75
1774	10631	77
1775	10635	88
1776	10636	51
1777	17841	111
1778	17844	67
1779	17845	117
1780	17847	109
1781	17864	84
1782	17872	113
1783	17873	114
1784	17880	83
1785	17886	44
1786	17898	124
1787	17902	133
1788	17908	119
1789	17914	94
1790	17917	77
1791	17919	122
1792	17922	96
1793	17923	128
1794	17924	142
1795	17927	96
1796	17930	114
1797	17933	77
1798	17942	102
1799	17943	116
1800	17968	105
1801	17974	131
1802	17975	133
1803	17980	118
1804	17982	61
1805	17983	101
1806	17984	113
1807	18000	116
1808	18008	94
1809	18012	135
1810	18019	119
1811	18038	121
1812	18044	114
1813	18046	81
1814	18047	123
1815	18053	133
1816	18058	107
1817	18061	136
1818	18065	125
1819	18076	125
1820	18077	142
1821	18081	119
1822	18096	108
1823	18102	41
1824	18106	136
1825	18108	95
1826	18116	127
1827	18130	97
1828	18143	119
1829	18150	94
1830	18154	51
1831	18171	88
1832	18177	55
1833	18179	27
1834	18184	37
1835	18185	96
1836	18189	138
1837	18190	95
1838	18198	117
1839	18206	96
1840	18212	85
1841	18213	116
1842	18220	117
1843	18227	131
1844	18228	100
1845	18229	139
1846	18230	142
1847	18235	73
1848	18239	48
1849	18241	135
1850	18243	29
1851	18250	118
1852	18260	116
1853	18262	105
1854	18263	73
1855	18271	115
1856	18273	107
1857	18275	139
1858	18277	115
1859	18278	36
1860	18285	75
1861	18288	116
1862	18289	123
1863	18302	69
1864	18309	95
1865	18321	61
1866	18326	118
1867	18330	48
1868	18331	55
1869	18340	130
1870	18341	106
1871	18362	147
1872	18373	69
1873	18376	126
1874	18379	83
1875	18387	115
1876	18388	141
1877	18390	125
1878	18392	144
1879	18398	113
1880	18405	94
1881	18413	133
1882	18423	108
1883	18426	39
1884	18428	120
1885	18434	125
1886	18435	120
1887	18436	72
1888	18438	136
1889	18453	100
1890	18460	67
1891	18464	121
1892	18467	128
1893	18471	118
1894	18495	111
1895	18507	136
1896	18510	121
1897	18511	62
